"X";"Trend";"Lien";"moy_liste_likes_2023.12.12";"moy_liste_nb_commentaires_2023.12.12";"moy_liste_nb_signets_2023.12.12";"moy_liste_partages_2023.12.12";"max_liste_likes_2023.12.12";"max_liste_nb_commentaires_2023.12.12";"max_liste_nb_signets_2023.12.12";"max_liste_partages_2023.12.12";"min_liste_likes_2023.12.12";"min_liste_nb_commentaires_2023.12.12";"min_liste_nb_signets_2023.12.12";"min_liste_partages_2023.12.12"
2;"Candice poils";"https://www.tiktok.com/search?q=Candice poils";8191.33333333333;38;395.333333333333;35;23600;74;945;65;425;6;71;0
3;"Cyril hanouna chute";"https://www.tiktok.com/search?q=Cyril hanouna chute";375;39;52.5;23.5;682;64;95;46;68;14;10;1
4;"Cargo mouillé";"https://www.tiktok.com/search?q=Cargo mouillé";702.5;55;73.5;3;728;102;106;3;677;8;41;3
8;"Skin gratuit lego fortnite";"https://www.tiktok.com/search?q=Skin gratuit lego fortnite";297;11;33;4;297;11;33;4;297;11;33;4
10;"L'oral de stage 3eme";"https://www.tiktok.com/search?q=L'oral de stage 3eme";3991;15;115;2;15800;52;449;8;32;0;1;0
11;"Le président Macron humilié à Dubai";"https://www.tiktok.com/search?q=Le%20pr%C3%A9sident%20Macron%20humili%C3%A9%20%C3%A0%20Dubai&t=1702122314451";42363.2;1309.2;3452.2;2147;211300;6530;17200;10700;89;0;7;0
12;"pubg tiktok videos";"https://www.tiktok.com/search?q=pubg%20tiktok%20videos&t=1702122533716";90000;801;9903;3192.25;148400;1117;14600;6155;42200;370;3112;484
13;"Cristiano Ronaldo";"https://www.tiktok.com/search?q=Cristiano%20Ronaldo&t=1702122561233";895060;6012.2;126420;15528.2;1800000;10700;277200;32000;252400;1467;17700;2758
14;"Try not to laugh level hard 100000000000";"https://www.tiktok.com/search?q=try%20not%20to%20laugh%20level%20hard%20100000000000&t=1702122593975";597900;2053.33333333333;81566.6666666667;9345.33333333333;648800;4382;90700;20200;516600;816;70000;3019
15;"Gaza pnl";"https://www.tiktok.com/search?q=Gaza%20pnl&t=1702124319616";4260.5;74.25;403;83.75;9175;109;1034;180;135;21;7;2
16;"Boutique aujourd'hui 9 décembre";"https://www.tiktok.com/search?q=Boutique%20aujourd%27hui%209%20d%C3%A9cembre&t=1702124360421";258.333333333333;34;15.3333333333333;1.66666666666667;578;74;30;3;63;11;4;0
18;"Savannah et Justriadh se marient";"https://www.tiktok.com/search?q=Savannah%20et%20Justriadh%20se%20marient&t=1702124454464";53650;334.5;3044.5;329.5;74400;392;3225;417;32900;277;2864;242
19;"french riots";"https://www.tiktok.com/search?q=french%20riots&t=1702124513733";480349.2;6949.4;31437.4;16086.8;2400000;34600;156900;80300;56;0;2;0
20;"Ibra tv perd son oeil";"https://www.tiktok.com/search?q=Ibra%20tv%20perd%20son%20oeil&t=1702124536695";22;0;1;0;22;0;1;0;22;0;1;0
